type,bom_ref,group,name,version,description,algorithm,hash_text,license_id,purl,website,issueTracker,vcs
library,urijs@1.19.11,,urijs,1.19.11,URI.js is a Javascript library for working with URLs.,SHA-512,1d78050e00e89a6c67e7f6c8bf4727419b0f8470c0f7434f1c3ebe73fbf6d54e7e4b1e61a0ff3e74ff48657054d6021fbdd45f846f1c7a5f5034f7a2a277dc09,MIT,pkg:npm/urijs@1.19.11,http://medialize.github.io/URI.js/,https://github.com/medialize/URI.js/issues,git+https://github.com/medialize/URI.js.git
library,code-point-at@1.1.0,,code-point-at,1.1.0,ES2015 `String#codePointAt()` ponyfill,SHA-512,4690152900394fadf1123ebf82221b504b59c09e1414873766dbc4922694111ca5a9ef316f922fa9c80ebab64b6a1bfddc22ca7f1730e5823e0d9714051c8b5c,MIT,pkg:npm/code-point-at@1.1.0,https://github.com/sindresorhus/code-point-at#readme,https://github.com/sindresorhus/code-point-at/issues,git+https://github.com/sindresorhus/code-point-at.git
library,number-is-nan@1.0.1,,number-is-nan,1.0.1,ES2015 Number.isNaN() ponyfill,SHA-512,e236ed657340b1f65b0078a2aa32cf0620a5d7a7444b5cc8e07a73cf1c3ad5393e96817eb010c12b1d4808a28ac08a90eccd26167d539a437b7ae4a771680789,MIT,pkg:npm/number-is-nan@1.0.1,https://github.com/sindresorhus/number-is-nan#readme,https://github.com/sindresorhus/number-is-nan/issues,git+https://github.com/sindresorhus/number-is-nan.git
library,p-try@2.2.0,,p-try,2.2.0,`Start a promise chain,SHA-512,4789cf0154c053407d0f7e7f1a4dee25fffb5d86d0732a2148a76f03121148d821165e1eef5855a069c1350cfd716697c4ed88d742930bede331dbefa0ac3a75,MIT,pkg:npm/p-try@2.2.0,https://github.com/sindresorhus/p-try#readme,https://github.com/sindresorhus/p-try/issues,git+https://github.com/sindresorhus/p-try.git
library,os-locale@3.1.0,,os-locale,3.1.0,Get the system locale,SHA-512,67c977478c1858ce34ff9d99f92dbae6891f163f0ab76702d8c298fb1362de416cf97188ed65eefc8df4f5041061b456e228e267ecb1b3da6a121261d03a96dd,MIT,pkg:npm/os-locale@3.1.0,https://github.com/sindresorhus/os-locale#readme,https://github.com/sindresorhus/os-locale/issues,git+https://github.com/sindresorhus/os-locale.git
library,execa@1.0.0,,execa,1.0.0,A better `child_process`,SHA-512,69d6f1732595e3aaa21f2bd2a79d132add39b41e2d2b71dc985eff9f17c07619e8c7cdec7930dbc276aa28ee2c5d1cbbae81c0205a893ff470fc0b846d7eb52c,MIT,pkg:npm/execa@1.0.0,https://github.com/tapjs/signal-exit,https://github.com/tapjs/signal-exit/issues,git+https://github.com/tapjs/signal-exit.git
library,execa@1.0.0|cross-spawn@6.0.5,,cross-spawn,6.0.5,Cross platform child_process#spawn and child_process#spawnSync,SHA-512,79354bac14adedf8db0f2833f34e69327b2d22cd954c1364466d2ac5977e33b0395c377155158ee4cc460576618d8e1ca8b60b76dac6a917fc9813e6cf04a959,MIT,pkg:npm/cross-spawn@6.0.5,https://github.com/moxystudio/node-cross-spawn,https://github.com/moxystudio/node-cross-spawn/issues,git+ssh://git@github.com/moxystudio/node-cross-spawn.git
library,execa@1.0.0|path-key@2.0.1,,path-key,2.0.1,Get the PATH environment variable key cross-platform,SHA-512,7c41c62824a65120cfbf8ba88fc0250fe8e83e5ab7a5e343f87458cb1173e0a3f0e33f76e92fdbf2b22e16cd85609837070b3125fe80f7fdde21d2da602fbd0f,MIT,pkg:npm/path-key@2.0.1,https://github.com/sindresorhus/path-key#readme,https://github.com/sindresorhus/path-key/issues,git+https://github.com/sindresorhus/path-key.git
library,execa@1.0.0|semver@5.7.2,,semver,5.7.2,The semantic version parser used by npm.,SHA-512,701ce79d0f4a8c9a94ebb079d91302eb908c6ab2b6eb4d161676e471a8b05aadf1cbfe61685265b21827a63a2f31527e1df7f8f5df06127d1bf3b0b9a43435d2,ISC,pkg:npm/semver@5.7.2,https://github.com/npm/node-semver#readme,https://github.com/npm/node-semver/issues,git+https://github.com/npm/node-semver.git
library,execa@1.0.0|shebang-command@1.2.0,,shebang-command,1.2.0,Get the command from a shebang,SHA-512,115dcbd7e510586a2bdb53a69efa232b7ea6860f93c8828387788504a06886be71797221341731f2859d8244c4110f8110515874b46ea8c7dde4bf3837557956,MIT,pkg:npm/shebang-command@1.2.0,https://github.com/kevva/shebang-command#readme,https://github.com/kevva/shebang-command/issues,git+https://github.com/kevva/shebang-command.git
library,execa@1.0.0|shebang-regex@1.0.0,,shebang-regex,1.0.0,Regular expression for matching a shebang,SHA-512,c29a12140c72b3a6f66b6c076755e90d2803ecdf62563836f4f87db95fee68ff44c7f2979644d94de75dc433d2610a60bf328b18991ed94534033a060a3348bd,MIT,pkg:npm/shebang-regex@1.0.0,https://github.com/sindresorhus/shebang-regex#readme,https://github.com/sindresorhus/shebang-regex/issues,git+https://github.com/sindresorhus/shebang-regex.git
library,execa@1.0.0|which@1.3.1,,which,1.3.1,Like which(1) unix command. Find the first instance of an executable in the PATH.,SHA-512,1f125d616ab53132106c9de7c3472ab2c1e84cd536ebb2a5ac3b866755989710d2b54b4a52139a266875d76fd36661f1c547ee26a3d748e9bbb43c9ab3439221,ISC,pkg:npm/which@1.3.1,https://github.com/isaacs/node-which#readme,https://github.com/isaacs/node-which/issues,git://github.com/isaacs/node-which.git
library,execa@1.0.0|get-stream@4.1.0,,get-stream,4.1.0,Get a stream as a string~ buffer~ or array,SHA-512,18c6ade04279d7ad64232d877af2e5af896e363060be68f8d7729a400ee3b7857c078443b1fa4793b590f4656a7d8cb2c7c392fcbeba2a8c7eac944d9252caef,MIT,pkg:npm/get-stream@4.1.0,https://github.com/sindresorhus/get-stream#readme,https://github.com/sindresorhus/get-stream/issues,git+https://github.com/sindresorhus/get-stream.git
library,execa@1.0.0|is-stream@1.1.0,,is-stream,1.1.0,Check if something is a Node.js stream,SHA-512,b903e6f2472ce3b8f1dfc6ad01c593571ca5b506283d3ebccbd69661d57ac965d2c96f26cd26add132fa0a259d65e09d1772ab02fa55b671db4efe1137eaea75,MIT,pkg:npm/is-stream@1.1.0,https://github.com/sindresorhus/is-stream#readme,https://github.com/sindresorhus/is-stream/issues,git+https://github.com/sindresorhus/is-stream.git
library,execa@1.0.0|signal-exit@3.0.7,,signal-exit,3.0.7,when you want to fire an event no matter how a process exits.,SHA-512,c270f6644fa5f923c2feea12d2f5de13d2f5fb4c2e68ca8a95fcfd00c528dfc26cc8b48159215c1d1d51ae2eb62d9735daf2ebd606f78e5ee2c10860c2901b19,ISC,pkg:npm/signal-exit@3.0.7,https://github.com/tapjs/signal-exit,https://github.com/tapjs/signal-exit/issues,git+https://github.com/tapjs/signal-exit.git
library,nice-try@1.0.5,,nice-try,1.0.5,Tries to execute a function and discards any error that occurs,SHA-512,d67878e5d79e6f9a25358ede5fcd8190f3bb492c51e524982623d3ad3745515630025f0228c03937d3e34d89078918e2b15731710d475dd2e1c76ab1c49ccb35,MIT,pkg:npm/nice-try@1.0.5,https://github.com/electerious/nice-try,https://github.com/electerious/nice-try/issues,git+https://github.com/electerious/nice-try.git
library,isexe@2.0.0,,isexe,2.0.0,Minimal module to check if a file is executable.,SHA-512,447c4c2e9f659ca1c61d19e0f5016144231b600715a67ebdb2648672addfdfac638155564e18f8aaa2db4cb96aed2b23f01f9f210d44b8210623694ab3241e23,ISC,pkg:npm/isexe@2.0.0,https://github.com/isaacs/isexe#readme,https://github.com/isaacs/isexe/issues,git+https://github.com/isaacs/isexe.git
library,npm-run-path@2.0.2,,npm-run-path,2.0.2,Get your PATH prepended with locally installed binaries,SHA-512,949c596254f80d6fdb454b45875310216aa62f041f0319ea586e0784476332592b2589c99f426baf6bb79a0c6a696b1d88173be936244c6fe686b9d84eecdf1f,MIT,pkg:npm/npm-run-path@2.0.2,https://github.com/sindresorhus/path-key#readme,https://github.com/sindresorhus/path-key/issues,git+https://github.com/sindresorhus/path-key.git
library,npm-run-path@2.0.2|path-key@2.0.1,,path-key,2.0.1,Get the PATH environment variable key cross-platform,SHA-512,7c41c62824a65120cfbf8ba88fc0250fe8e83e5ab7a5e343f87458cb1173e0a3f0e33f76e92fdbf2b22e16cd85609837070b3125fe80f7fdde21d2da602fbd0f,MIT,pkg:npm/path-key@2.0.1,https://github.com/sindresorhus/path-key#readme,https://github.com/sindresorhus/path-key/issues,git+https://github.com/sindresorhus/path-key.git
library,p-finally@1.0.0,,p-finally,1.0.0,`Promise#finally()` ponyfill - Invoked when the promise is settled regardless of outcome,SHA-512,2c809bda9f4207b152fb4791d68a969c7869d0596318b64258113d6a2c745327bd5bc2d340fc0c4d8546590588c3d45d4220e0e3e7a95d0383c08609b5225aa3,MIT,pkg:npm/p-finally@1.0.0,https://github.com/sindresorhus/p-finally#readme,https://github.com/sindresorhus/p-finally/issues,git+https://github.com/sindresorhus/p-finally.git
library,strip-eof@1.0.0,,strip-eof,1.0.0,Strip the End-Of-File (EOF) character from a string/buffer,SHA-512,ec50b01869b1f260f9c5077744f52f9d2a545c7337056bb38eda43e135ec7dc67d10be1acef55552c7056300fd9f1f0a87eb82042d345c1b40ca4a0c1f04e1f1,MIT,pkg:npm/strip-eof@1.0.0,https://github.com/sindresorhus/strip-eof#readme,https://github.com/sindresorhus/strip-eof/issues,git+https://github.com/sindresorhus/strip-eof.git
library,lcid@2.0.0,,lcid,2.0.0,Mapping between standard locale identifiers and Windows locale identifiers (LCID),SHA-512,6af3c46fc3fc1069f05ca0a5c2c35482bc958e595c46ab4c61ae3d353b1b41a818b93d437179e5d7dd79a315a3a321ab5d1eb31ff63465cf7ac56b0f7280ca78,MIT,pkg:npm/lcid@2.0.0,https://github.com/sindresorhus/lcid#readme,https://github.com/sindresorhus/lcid/issues,git+https://github.com/sindresorhus/lcid.git
library,invert-kv@2.0.0,,invert-kv,2.0.0,Invert the key/value of an object. Example: `{foo: 'bar'}` → `{bar: 'foo'}`,SHA-512,c0f56fff2fd043f5228ab8ffbe1de83fed56c3e0167a19a2d60e5f15618f17a22908108356b8601d132facb7dd61cc038774096c65c35b8240bb3c4494b4aa28,MIT,pkg:npm/invert-kv@2.0.0,https://github.com/sindresorhus/invert-kv#readme,https://github.com/sindresorhus/invert-kv/issues,git+https://github.com/sindresorhus/invert-kv.git
library,mem@4.3.0,,mem,4.3.0,Memoize functions - An optimization used to speed up consecutive function calls by caching the result of calls with identical input,SHA-512,a97d9b1b8f294ea6115660c1dfbae7ffa3d3ecb711f13ee8017ddb7fdf6ed53b759f3c587f1920a83c14c2894f957c1e3345f304e045cd2c7891fa7b28fd6cff,MIT,pkg:npm/mem@4.3.0,https://github.com/sindresorhus/mem#readme,https://github.com/sindresorhus/mem/issues,git+https://github.com/sindresorhus/mem.git
library,map-age-cleaner@0.1.3,,map-age-cleaner,0.1.3,Automatically cleanup expired items in a Map,SHA-512,6c9cf1ea73283fa3c32cf0459a0efec5129e159bc56e832b1a5c66363f4296f5f9dcaae6bcce5b5c55c45a36f3e1ccf50059fe8d627dcff0c94b3ee1aecd30df,MIT,pkg:npm/map-age-cleaner@0.1.3,https://github.com/SamVerschueren/map-age-cleaner#readme,https://github.com/SamVerschueren/map-age-cleaner/issues,git+https://github.com/SamVerschueren/map-age-cleaner.git
library,p-defer@1.0.0,,p-defer,1.0.0,Create a deferred promise,SHA-512,c01df07c0c59a64d80cce7d430934bf9ddfac68b61452ca3f045ce6b87fa18ca980cdf4125a6922126ec93ec12f5a6e69de6d5c3de42d8a6f9b7ce549a90b1bb,MIT,pkg:npm/p-defer@1.0.0,https://github.com/sindresorhus/p-defer#readme,https://github.com/sindresorhus/p-defer/issues,git+https://github.com/sindresorhus/p-defer.git
library,mimic-fn@2.1.0,,mimic-fn,2.1.0,Make a function mimic another one,SHA-512,3aa6ce939a0441e019f165d6c9d96ef47263cfd59574422f6a63027179aea946234e49c7fecaac5af850def830285451d47a63bcd04a437ee76c9818cc6a8672,MIT,pkg:npm/mimic-fn@2.1.0,https://github.com/sindresorhus/mimic-fn#readme,https://github.com/sindresorhus/mimic-fn/issues,git+https://github.com/sindresorhus/mimic-fn.git
library,p-is-promise@2.1.0,,p-is-promise,2.1.0,Check if something is a promise,SHA-512,6375b4c2544f2bc64c45b36af7b978339a2d8a8780e659b5cfb6e4364c4291af0748f8d1d314569a90a673dbad89a2cff496f5783f0181e2314d6e00205e393e,MIT,pkg:npm/p-is-promise@2.1.0,https://github.com/sindresorhus/p-is-promise#readme,https://github.com/sindresorhus/p-is-promise/issues,git+https://github.com/sindresorhus/p-is-promise.git
library,require-directory@2.1.1,,require-directory,2.1.1,Recursively iterates over specified directory~ require()'ing each file~ and returning a nested hash structure containing those modules.,SHA-512,7c6c4423bfb0b06f71aef763b2b9662f6d8e3134e21d1c0032ba2211e320abc833a0b0bf3d0afb46c4434932d483f6d9019b45f9354890773aff84482abba2f9,MIT,pkg:npm/require-directory@2.1.1,https://github.com/troygoode/node-require-directory/,http://github.com/troygoode/node-require-directory/issues/,git://github.com/troygoode/node-require-directory.git
library,which-module@2.0.1,,which-module,2.0.1,Find the module object for something that was require()d,SHA-512,881759e7b443be7391f4018184c2f6bc565fee1f2f9818e1a1a66a3832411561d5b4a90398ab876a2ddcc793e054cad7e580cda76ec0a1f61b03072d492faf85,ISC,pkg:npm/which-module@2.0.1,https://github.com/nexdrew/which-module#readme,https://github.com/nexdrew/which-module/issues,git+https://github.com/nexdrew/which-module.git
library,camelcase@5.3.1,,camelcase,5.3.1,Convert a dash/dot/underscore/space separated string to camelCase or PascalCase: `foo-bar` → `fooBar`,SHA-512,2f6f124c1d7bd27c164badd48ed944384ddd95d400a5a257664388d6e3057f37f7ad1b8f7a01da1deb3279ef98c50f96e92bd10d057a52b74e751891d79df026,MIT,pkg:npm/camelcase@5.3.1,https://github.com/sindresorhus/camelcase#readme,https://github.com/sindresorhus/camelcase/issues,git+https://github.com/sindresorhus/camelcase.git
